loss,accuracy,recall,precision,f1-score
0.9468259,0.87597483,0.853211,0.8454546,0.8493150412590194
0.90322876,0.8762264,0.85665137,0.8507973,0.8537142653805485
1.0246184,0.8742138,0.79816514,0.8613861,0.8285714227596377
1.0272993,0.8802516,0.7912844,0.8679245,0.8278344137689134
0.8952396,0.87773585,0.85894495,0.85017025,0.8545350488894117
0.9574214,0.87798744,0.86926603,0.83572215,0.8521640903291127
1.0209678,0.8802516,0.8233945,0.84970415,0.8363424803798726
0.85071045,0.88352203,0.8474771,0.8755924,0.861305395298998
0.92002314,0.87245286,0.8715596,0.8360836,0.8534530710922273
0.96357495,0.8734591,0.8405963,0.84447,0.8425287186527743
1.0091794,0.8805031,0.80733943,0.8606357,0.8331360548986149
0.82770765,0.8910692,0.8543578,0.87647057,0.865272947490649
0.9399581,0.88,0.86009175,0.8333333,0.8465011197418558
0.90454656,0.89056605,0.83142203,0.8766626,0.8534432268838701
0.91557395,0.8789937,0.8474771,0.85433525,0.850892374312569
0.75551224,0.89056605,0.8772936,0.8772936,0.877293586730957
0.83008933,0.8875472,0.8635321,0.86551726,0.864523522922907
1.0173942,0.88327044,0.8119266,0.85507244,0.8329411336516023
0.93021065,0.87748426,0.8440367,0.8538283,0.8489042704665026
0.921502,0.88981134,0.86123854,0.8514739,0.8563283682828922
0.7338128,0.9016352,0.8727064,0.88591385,0.8792605364108951
1.019224,0.8880503,0.8211009,0.8533969,0.8369374156615599
1.0119439,0.8867925,0.8337156,0.8385236,0.8361126802163275
0.9309513,0.88125783,0.8635321,0.8422819,0.8527746390542255
0.9240444,0.89584905,0.8440367,0.8618267,0.8528389144841008
0.84816223,0.90113205,0.83600914,0.88470876,0.859669807183016
0.84330165,0.8923271,0.8658257,0.8608894,0.8633504879382738
0.96852607,0.8792453,0.8520642,0.8414496,0.846723610602829
0.9546956,0.8928302,0.8325688,0.8622328,0.8471412409300276
0.92768604,0.89484274,0.8520642,0.85599077,0.854022936766176
0.8690059,0.8986164,0.8440367,0.87410927,0.8588098043864033
0.84259206,0.90037733,0.85894495,0.8760234,0.8674000949455178
0.7901186,0.90213835,0.8727064,0.87471265,0.8737083481460975
0.90881646,0.8945912,0.83830273,0.8661137,0.8519813009316318
0.96071774,0.89056605,0.83715594,0.85280377,0.8449073787395358
1.013072,0.88503146,0.85091746,0.8355856,0.8431818359794695
0.7863099,0.9051572,0.8761468,0.8771527,0.8766494488133656
1.0055373,0.89685535,0.8130734,0.8583535,0.8351001116991509
0.93832546,0.89408803,0.85091746,0.853855,0.8523837052867141
0.89255875,0.8991195,0.86926603,0.8507295,0.8598979243311796
0.9455834,0.89584905,0.85091746,0.853855,0.8523837052867141
0.9398066,0.90289307,0.83142203,0.8682635,0.8494434496309841
0.92078054,0.89710695,0.8543578,0.8553387,0.854847924650743
0.8865078,0.8986164,0.8669725,0.85231113,0.8595793367994085
0.848495,0.8981132,0.8658257,0.86981565,0.8678160940613289
0.9313897,0.8983648,0.8428899,0.85465115,0.8487298155008464
0.87039953,0.9059119,0.8761468,0.8488889,0.8623024775349935
0.97186565,0.8998742,0.8555046,0.8410372,0.8482092074767255
0.895274,0.89710695,0.853211,0.8591224,0.8561564569417166
0.8015836,0.9081761,0.8428899,0.8930741,0.8672565944191836
0.82733226,0.9044025,0.8555046,0.879717,0.867441828546169
0.8822195,0.89710695,0.8738532,0.8542601,0.8639455747263809
0.8884844,0.9127044,0.8451835,0.87738097,0.8609813183548669
0.87480754,0.91471696,0.8486239,0.8747045,0.861466825861813
0.7743947,0.8993711,0.8830275,0.8680947,0.8754973882509968
0.85837036,0.8953459,0.8669725,0.8620297,0.8644939938210706
0.79795235,0.9071698,0.86009175,0.88547814,0.8726003112887429
0.99629325,0.89610064,0.83142203,0.856974,0.8440046979102915
0.9721332,0.89484274,0.8463303,0.84730196,0.8468158437960108
1.0167205,0.90113205,0.8245413,0.85189575,0.837995338178646
0.8422356,0.9122013,0.8440367,0.886747,0.8648648724068749
0.92900217,0.90415096,0.85894495,0.85210466,0.8555111652081657
0.8666647,0.90238994,0.8738532,0.8533035,0.8634561288732664
0.9561237,0.8993711,0.84977067,0.84977067,0.8497706651687622
0.7948149,0.91421384,0.853211,0.89315724,0.8727272810584839
0.8485553,0.9119497,0.8646789,0.867664,0.8661688477901381
1.0417297,0.8920755,0.85779816,0.82743365,0.8423423484619652
0.90657306,0.9066667,0.83600914,0.8720096,0.8536299342679032
0.777636,0.92176104,0.8543578,0.89651024,0.8749265673328913
0.83345073,0.9114465,0.8761468,0.86523217,0.8706552463291493
0.93963367,0.8986164,0.8520642,0.854023,0.8530424913595455
0.80314124,0.91471696,0.8646789,0.8849765,0.8747099477840328
0.9196638,0.90415096,0.8348624,0.8687351,0.8514619677805768
1.0075921,0.90213835,0.8337156,0.8532864,0.843387511981429
0.7572548,0.9144654,0.8853211,0.8832952,0.8843069990430779
0.8239643,0.9124528,0.85894495,0.8811765,0.8699187286898532
0.886795,0.90867925,0.8486239,0.8726415,0.8604651528993391
0.8011219,0.91320753,0.8727064,0.86971426,0.8712077675637521
0.78123206,0.91597486,0.8646789,0.883939,0.8742029333589365
0.7442391,0.9227673,0.8727064,0.8921454,0.8823188488204494
0.78068614,0.918239,0.8635321,0.8932384,0.8781340848877847
0.7353544,0.92125785,0.8784404,0.8948598,0.8865740698224392
0.84268403,0.9054088,0.88073397,0.85714287,0.8687782657617287
0.80296594,0.9137107,0.8555046,0.8838863,0.8694638723624709
0.86330205,0.91320753,0.85779816,0.8697674,0.8637413591349464
0.9079029,0.9124528,0.85779816,0.85583526,0.8568155848288542
0.87806106,0.912956,0.85091746,0.8729412,0.8617886712056193
0.85238254,0.91496855,0.83830273,0.8860606,0.8615203140348158
0.84496737,0.91522014,0.8727064,0.85891646,0.8657564987383728
0.7757035,0.9172327,0.875,0.8800461,0.8775158102683571
0.7896675,0.916478,0.8704128,0.88255817,0.8764434524772184
0.81985325,0.9174843,0.84977067,0.8863636,0.8676815056090927
0.6505379,0.9298113,0.875,0.9170673,0.8955398973588018
0.6845159,0.9255346,0.88876146,0.89491916,0.8918296501754249
